classification,number_standard
https://w3id.org/i40/sto#IIRASecurity,27
https://w3id.org/i40/sto#RAMIControlDevice,21
https://w3id.org/i40/sto#RAMIProduct,20
https://w3id.org/i40/sto#RAMIFieldDevice,18
https://w3id.org/i40/sto#IDSRAMCertification,17
https://w3id.org/i40/sto#RAMIStation,15
https://w3id.org/i40/rami#Engineering,14
https://w3id.org/i40/sto#RAMIWorkCenter,13
https://w3id.org/i40/sto#IDSRAMSecurity,12
https://w3id.org/i40/sto#RAMIAssetlayer,10
https://w3id.org/i40/sto#IIRAPrivacy,10
https://w3id.org/i40/sto#RAMICommunicationlayer,9
https://w3id.org/i40/sto#RAMIEnterprise,9
https://w3id.org/i40/rami#Safety,8
https://w3id.org/i40/sto#RAMIIntegrationLayer,6
https://w3id.org/i40/rami#Security,6
https://w3id.org/i40/sto#ProductionSystemModelData,6
https://w3id.org/i40/sto#ModelingPractice,6
https://w3id.org/i40/sto#DataSovereignty,5
https://w3id.org/i40/rami#Configuration,5
https://w3id.org/i40/sto#RAMIInformationLayer,5
https://w3id.org/i40/sto#TansportLayer,5
https://w3id.org/i40/sto#IDSRAMSystemLayer,5
https://w3id.org/i40/rami#Lifecycle_Status,4
https://w3id.org/i40/sto#ProductModelDataExchange,4
https://w3id.org/i40/sto#ProductLifeCycleManagement,4
https://w3id.org/i40/rami#ConditionMonitoring,4
https://w3id.org/i40/sto#RAMIBusinessLayer,4
https://w3id.org/i40/sto#Safety,4
https://w3id.org/i40/sto#IICFFrameworkLayer,3
https://w3id.org/i40/rami#AdminShellGeneral,3
https://w3id.org/i40/sto#RAMIConnectedWorld,3
https://w3id.org/i40/rami#Identification,3
https://w3id.org/i40/sto#FiwareSecurity,3
https://w3id.org/i40/sto#BusinessProcessExecution,3
https://w3id.org/i40/sto#CrossLevel,3
https://w3id.org/i40/rami#ControlDevice,3
https://w3id.org/i40/sto#ProductionSystemEngineering,3
https://w3id.org/i40/sto#IIRAOperationsDomain,2
https://w3id.org/i40/rami#Station,2
https://w3id.org/i40/sto#SCM,2
https://w3id.org/i40/rami#FieldDevice,2
https://w3id.org/i40/sto#IIRAFunctionalViewpoint,2
https://w3id.org/i40/sto#RAMIFunctionalLayer,2
https://w3id.org/i40/sto#IDSRAMInformationLayer,2
https://w3id.org/i40/sto#RAMIFunctional,2
https://w3id.org/i40/sto#ProductCatalogData,2
https://w3id.org/i40/sto#InformationDomain,2
https://w3id.org/i40/sto#EnterpriseLevel,2
https://w3id.org/i40/sto#IIRAConnectivity,2
https://w3id.org/i40/rami#WorkCenter,2
https://w3id.org/i40/sto#ManufacturingModelData,1
https://w3id.org/i40/sto#Security,1
https://w3id.org/i40/sto#ProductionLifeCycleDataManagement,1
https://w3id.org/i40/sto#DeviceLevel,1
https://w3id.org/i40/rami#EnergyEfficiency,1
https://w3id.org/i40/sto#NetworkLayer,1
https://w3id.org/i40/sto#IIRAApplicationDomain,1
https://w3id.org/i40/rami#Other,1
https://w3id.org/i40/sto#Communication,1
https://w3id.org/i40/sto#IDSRAMInteroperability,1
https://w3id.org/i40/sto#SCADALevel,1
https://w3id.org/i40/rami#ProcessPlanning,1
